game_id,team,inning_1,inning_2,inning_3,inning_4,inning_5,inning_6,inning_7,inning_8,inning_9,r,h,e,inning_10,inning_11,inning_12,inning_13,inning_14,inning_15,inning_16,inning_17
Game_1,Dodgers,0,1,0,2,0,0,0,2,0,5,9,0,,,,,,,,
Game_1,Blue Jays,0,0,3,0,1,0,1,0,5,10,10,0,,,,,,,,
Game_2,Dodgers,1,0,0,0,0,1,0,6,0,8,12,1,,,,,,,,
Game_2,Blue Jays,1,4,0,0,0,0,0,0,0,5,9,0,,,,,,,,
Game_3,Dodgers,1,0,2,0,0,0,3,0,0,6,10,0,,,,,,,,
Game_3,Blue Jays,3,0,0,0,0,0,0,0,0,3,4,0,,,,,,,,
Game_4,Dodgers,0,0,2,0,0,0,0,0,0,2,5,1,,,,,,,,
Game_4,Blue Jays,0,1,0,0,0,0,0,0,4,5,8,0,,,,,,,,
Game_5,Dodgers,2,0,1,0,0,0,0,0,0,3,6,1,,,,,,,,
Game_5,Blue Jays,3,0,1,0,0,0,0,0,,4,6,0,,,,,,,,
Game_6,Dodgers,0,0,2,2,0,0,0,0,0,4,11,1,,,,,,,,
Game_6,Blue Jays,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,
Game_7,Dodgers,0,0,0,0,0,0,0,0,2,2,9,0,,,,,,,,
Game_7,Blue Jays,0,0,2,0,0,0,0,0,1,3,8,0,,,,,,,,
Game_8,Dodgers,0,4,0,0,1,0,0,0,4,9,15,0,,,,,,,,
Game_8,Blue Jays,0,0,2,0,0,0,1,0,0,3,8,0,,,,,,,,
Game_9,Dodgers,0,0,0,0,3,0,0,0,0,3,8,0,,,,,,,,
Game_9,Blue Jays,0,0,0,0,0,1,4,0,,5,10,0,,,,,,,,
Game_10,Dodgers,0,0,0,0,0,0,0,1,0,1,7,0,,,,,,,,
Game_10,Blue Jays,0,0,0,4,0,0,0,3,,7,9,0,,,,,,,,
Game_11,Dodgers,0,0,0,0,0,0,0,0,0,0,8,0,,,,,,,,
Game_11,Blue Jays,2,0,0,0,0,0,0,0,,2,4,0,,,,,,,,
Game_12,Dodgers,0,0,0,3,0,0,1,0,0,4,7,0,,,,,,,,
Game_12,Blue Jays,3,1,0,0,0,0,3,0,,7,10,0,,,,,,,,
Game_13,Dodgers,0,0,0,0,2,0,0,4,0,10,15,0,0.0,4.0,,,,,,
Game_13,Blue Jays,1,0,1,0,2,1,1,0,0,6,11,1,0.0,0.0,,,,,,
Game_14,Dodgers,1,0,4,0,1,0,0,0,0,6,7,0,,,,,,,,
Game_14,Blue Jays,0,1,0,0,0,0,0,0,0,1,13,0,,,,,,,,
Game_15,Dodgers,0,3,0,0,1,0,0,1,0,5,10,0,,,,,,,,
Game_15,Blue Jays,0,0,0,4,1,5,0,0,,10,15,0,,,,,,,,
Game_16,Dodgers,0,1,0,0,2,0,1,0,2,6,8,1,,,,,,,,
Game_16,Blue Jays,0,0,0,4,0,0,0,0,0,4,10,0,,,,,,,,
Game_17,Dodgers,0,2,3,0,0,0,0,0,0,5,11,1,,,,,,,,
Game_17,Blue Jays,3,0,0,0,0,0,0,0,0,3,7,1,,,,,,,,
Game_18,Dodgers,3,1,0,0,1,1,3,0,0,9,16,0,,,,,,,,
Game_18,Blue Jays,1,0,0,0,0,0,0,3,0,4,9,1,,,,,,,,
Game_19,Dodgers,0,0,0,0,1,0,0,1,0,2,6,0,,,,,,,,
Game_19,Blue Jays,0,0,5,0,2,0,0,0,,7,9,0,,,,,,,,
Game_20,Dodgers,0,1,0,0,2,5,0,0,0,8,12,0,0.0,0.0,,,,,,
Game_20,Blue Jays,0,0,2,0,0,2,0,3,1,10,13,0,0.0,2.0,,,,,,
Game_21,Dodgers,3,6,0,0,0,0,0,0,4,13,11,0,,,,,,,,
Game_21,Blue Jays,0,0,0,0,0,0,0,0,0,0,4,0,,,,,,,,
Game_22,Dodgers,5,0,0,6,0,0,0,4,0,15,20,0,,,,,,,,
Game_22,Blue Jays,0,0,2,4,2,2,1,0,0,11,14,0,,,,,,,,
Game_23,Dodgers,1,0,2,0,0,0,0,0,0,3,9,0,,,,,,,,
Game_23,Blue Jays,0,3,0,0,0,0,2,4,,9,15,0,,,,,,,,
Game_24,Dodgers,2,1,0,2,1,0,0,0,0,6,11,0,,,,,,,,
Game_24,Blue Jays,0,0,0,0,0,0,0,0,0,0,8,0,,,,,,,,
Game_25,Dodgers,4,3,0,0,3,1,0,1,0,12,15,0,,,,,,,,
Game_25,Blue Jays,0,0,0,0,1,1,0,2,1,5,17,0,,,,,,,,
Game_26,Dodgers,4,0,0,0,0,0,0,0,0,4,5,0,,,,,,,,
Game_26,Blue Jays,0,1,0,0,0,0,0,1,0,2,7,0,,,,,,,,
Game_27,Dodgers,0,0,0,1,0,1,0,0,0,2,9,0,,,,,,,,
Game_27,Blue Jays,0,0,0,2,0,6,1,0,,9,12,1,,,,,,,,
Game_28,Dodgers,0,0,0,0,0,0,0,1,0,1,5,0,,,,,,,,
Game_28,Blue Jays,0,0,0,2,0,0,0,0,,2,9,0,,,,,,,,
Game_29,Dodgers,0,1,0,0,0,0,1,0,0,2,9,0,,,,,,,,
Game_29,Blue Jays,0,0,0,0,0,5,0,0,,5,6,0,,,,,,,,
Game_30,Dodgers,2,0,0,2,0,0,0,1,0,5,12,0,,,,,,,,
Game_30,Blue Jays,0,2,2,0,0,0,0,0,3,7,13,0,,,,,,,,
Game_31,Dodgers,1,0,0,1,0,0,0,0,0,2,6,0,,,,,,,,
Game_31,Blue Jays,0,0,0,0,0,0,1,0,0,1,7,0,,,,,,,,
Game_32,Dodgers,0,0,1,3,1,2,0,0,0,7,10,0,,,,,,,,
Game_32,Blue Jays,3,1,0,0,0,4,0,0,,8,9,0,,,,,,,,
Game_33,Dodgers,0,0,0,0,0,0,1,3,0,4,7,0,,,,,,,,
Game_33,Blue Jays,0,1,0,0,1,0,0,0,0,2,11,0,,,,,,,,
Game_34,Dodgers,0,1,2,0,0,0,0,0,1,4,9,0,,,,,,,,
Game_34,Blue Jays,1,0,0,0,0,2,0,2,,5,8,0,,,,,,,,
Game_35,Dodgers,0,0,3,0,1,0,0,2,0,6,9,0,,,,,,,,
Game_35,Blue Jays,3,0,2,1,0,0,2,0,,8,13,0,,,,,,,,
Game_36,Dodgers,0,1,1,2,0,5,0,0,0,9,10,1,,,,,,,,
Game_36,Blue Jays,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,,,
Game_37,Dodgers,0,0,0,0,0,4,3,2,0,9,11,0,,,,,,,,
Game_37,Blue Jays,0,0,0,0,2,0,0,0,0,2,10,0,,,,,,,,
Game_38,Dodgers,0,2,1,0,0,3,0,0,2,8,10,0,,,,,,,,
Game_38,Blue Jays,0,1,0,3,0,0,0,0,0,4,8,0,,,,,,,,
Game_39,Dodgers,0,2,0,0,0,0,2,0,0,4,7,0,0.0,0.0,0.0,0.0,0.0,,,
Game_39,Blue Jays,0,0,2,0,0,0,0,0,2,5,16,1,0.0,0.0,0.0,0.0,1.0,,,
Game_40,Dodgers,0,0,0,0,0,0,0,0,0,0,5,1,,,,,,,,
Game_40,Blue Jays,0,2,0,3,3,0,0,1,,9,10,1,,,,,,,,
Game_41,Dodgers,1,0,0,0,0,1,0,0,0,2,9,0,,,,,,,,
Game_41,Blue Jays,0,4,0,6,4,0,2,0,,16,18,0,,,,,,,,
Game_42,Dodgers,0,0,0,0,0,3,0,0,0,4,12,0,1.0,,,,,,,
Game_42,Blue Jays,0,0,0,1,2,0,0,0,0,5,10,1,2.0,,,,,,,
Game_43,Dodgers,0,0,1,0,0,0,0,0,1,2,5,0,0.0,0.0,0.0,,,,,
Game_43,Blue Jays,0,0,0,0,0,1,0,0,1,3,10,0,0.0,0.0,1.0,,,,,
Game_44,Dodgers,0,0,0,0,1,0,0,0,0,1,12,0,,,,,,,,
Game_44,Blue Jays,1,2,2,0,0,0,0,0,,5,8,0,,,,,,,,
Game_45,Dodgers,0,4,0,0,0,0,3,0,0,7,11,0,,,,,,,,
Game_45,Blue Jays,0,0,2,2,0,3,2,0,,9,18,0,,,,,,,,
Game_46,Dodgers,1,1,0,0,0,0,0,0,1,3,9,0,,,,,,,,
Game_46,Blue Jays,0,0,0,0,2,0,0,2,,4,7,0,,,,,,,,
Game_47,Dodgers,0,3,0,1,0,2,0,0,0,6,9,1,,,,,,,,
Game_47,Blue Jays,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,,,
Game_48,Dodgers,0,3,0,0,0,0,1,0,0,4,10,0,,,,,,,,
Game_48,Blue Jays,2,0,0,2,1,0,0,0,,5,11,1,,,,,,,,
Game_49,Dodgers,0,0,1,0,1,0,0,0,0,2,8,0,,,,,,,,
Game_49,Blue Jays,0,0,1,0,0,0,2,0,,3,9,0,,,,,,,,
Game_50,Dodgers,0,0,0,1,0,0,0,0,0,1,6,0,,,,,,,,
Game_50,Blue Jays,0,0,0,0,0,1,1,0,,2,7,0,,,,,,,,
Game_51,Dodgers,0,0,0,3,0,0,0,0,1,4,9,0,,,,,,,,
Game_51,Blue Jays,0,0,0,0,0,1,0,0,0,1,5,0,,,,,,,,
Game_52,Dodgers,0,0,0,0,0,0,4,0,0,4,13,0,,,,,,,,
Game_52,Blue Jays,2,2,0,0,0,0,1,0,,5,12,0,,,,,,,,
Game_53,Dodgers,2,0,0,0,0,1,0,0,0,3,8,1,,,,,,,,
Game_53,Blue Jays,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,,,
Game_54,Dodgers,0,0,3,0,0,0,0,0,0,3,9,0,,,,,,,,
Game_54,Blue Jays,2,2,0,3,0,0,0,0,,7,8,0,,,,,,,,
Game_55,Dodgers,0,1,0,0,0,2,0,0,0,3,7,0,,,,,,,,
Game_55,Blue Jays,0,3,0,0,1,0,0,0,,4,9,0,,,,,,,,
Game_56,Dodgers,2,0,0,0,0,1,0,0,0,3,8,0,,,,,,,,
Game_56,Blue Jays,0,0,0,0,2,0,0,0,0,2,4,0,,,,,,,,
Game_57,Dodgers,0,0,1,5,0,0,0,1,0,7,11,0,,,,,,,,
Game_57,Blue Jays,1,0,0,0,6,4,6,0,,17,16,0,,,,,,,,
Game_58,Dodgers,0,2,0,1,1,0,0,0,0,4,8,0,,,,,,,,
Game_58,Blue Jays,0,0,0,0,0,0,1,0,0,1,8,0,,,,,,,,
Game_59,Dodgers,0,2,0,0,2,1,1,0,1,7,17,0,,,,,,,,
Game_59,Blue Jays,1,0,0,0,0,0,0,0,0,1,5,0,,,,,,,,
Game_60,Dodgers,0,0,2,1,0,0,0,0,0,3,8,0,,,,,,,,
Game_60,Blue Jays,0,1,0,0,0,1,0,0,0,2,6,0,,,,,,,,
Game_61,Dodgers,0,0,0,0,0,0,0,2,0,2,8,1,0.0,,,,,,,
Game_61,Blue Jays,0,0,0,0,0,0,1,1,0,4,15,0,2.0,,,,,,,
Game_62,Dodgers,0,0,0,0,1,1,0,0,0,2,6,0,,,,,,,,
Game_62,Blue Jays,0,0,0,0,0,0,2,2,,4,16,0,,,,,,,,
Game_63,Dodgers,2,0,0,0,0,1,2,3,0,8,12,0,,,,,,,,
Game_63,Blue Jays,1,0,0,0,0,1,2,2,0,6,10,0,,,,,,,,
Game_64,Dodgers,0,0,0,0,0,0,1,2,4,7,12,0,,,,,,,,
Game_64,Blue Jays,0,0,0,0,0,0,0,0,0,0,8,0,,,,,,,,
Game_65,Dodgers,0,1,0,0,0,0,2,5,0,8,12,0,,,,,,,,
Game_65,Blue Jays,2,0,0,0,0,0,0,0,0,2,9,1,,,,,,,,
Game_66,Dodgers,3,1,0,4,0,0,4,0,0,12,15,0,,,,,,,,
Game_66,Blue Jays,0,0,0,0,0,0,0,0,0,0,7,0,,,,,,,,
Game_67,Dodgers,0,0,0,0,0,0,2,0,1,3,8,0,,,,,,,,
Game_67,Blue Jays,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,
Game_68,Dodgers,0,0,0,0,0,0,0,1,0,1,7,0,,,,,,,,
Game_68,Blue Jays,0,2,0,0,1,0,0,0,,3,10,0,,,,,,,,
Game_69,Dodgers,1,0,2,0,4,1,0,0,0,8,13,1,,,,,,,,
Game_69,Blue Jays,1,0,0,0,0,1,0,3,0,5,7,0,,,,,,,,
Game_70,Dodgers,0,0,0,0,2,0,0,0,0,2,3,1,,,,,,,,
Game_70,Blue Jays,0,0,0,0,0,0,4,1,,5,11,0,,,,,,,,
Game_71,Dodgers,3,0,2,0,0,0,0,8,3,16,16,0,,,,,,,,
Game_71,Blue Jays,0,0,0,1,1,4,1,1,0,8,14,0,,,,,,,,
Game_72,Dodgers,0,3,3,0,0,1,2,1,1,11,15,0,,,,,,,,
Game_72,Blue Jays,0,0,0,0,2,0,0,1,1,4,10,0,,,,,,,,
Game_73,Dodgers,1,0,1,0,0,1,0,1,0,4,9,0,,,,,,,,
Game_73,Blue Jays,0,4,0,0,2,1,0,0,,7,11,0,,,,,,,,
Game_74,Dodgers,3,0,0,0,0,0,0,2,0,5,11,0,,,,,,,,
Game_74,Blue Jays,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,
Game_75,Dodgers,0,0,0,0,0,0,4,0,0,4,9,0,,,,,,,,
Game_75,Blue Jays,0,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,
Game_76,Dodgers,0,0,0,0,0,1,1,0,0,2,4,0,,,,,,,,
Game_76,Blue Jays,0,3,0,1,0,0,0,0,,4,13,0,,,,,,,,
Game_77,Dodgers,0,0,0,0,0,0,0,0,1,1,6,1,,,,,,,,
Game_77,Blue Jays,1,0,0,0,3,0,0,0,,4,8,0,,,,,,,,
