game_id,Blue Jays,Dodgers,winner
Game_1,10,5,Blue Jays
Game_2,5,8,Dodgers
Game_3,3,6,Dodgers
Game_4,5,2,Blue Jays
Game_5,4,3,Blue Jays
Game_6,0,4,Dodgers
Game_7,3,2,Blue Jays
Game_8,3,9,Dodgers
Game_9,5,3,Blue Jays
Game_10,7,1,Blue Jays
Game_11,2,0,Blue Jays
Game_12,7,4,Blue Jays
Game_13,6,10,Dodgers
Game_14,1,6,Dodgers
Game_15,10,5,Blue Jays
Game_16,4,6,Dodgers
Game_17,3,5,Dodgers
Game_18,4,9,Dodgers
Game_19,7,2,Blue Jays
Game_20,10,8,Blue Jays
Game_21,0,13,Dodgers
Game_22,11,15,Dodgers
Game_23,9,3,Blue Jays
Game_24,0,6,Dodgers
Game_25,5,12,Dodgers
Game_26,2,4,Dodgers
Game_27,9,2,Blue Jays
Game_28,2,1,Blue Jays
Game_29,5,2,Blue Jays
Game_30,7,5,Blue Jays
Game_31,1,2,Dodgers
Game_32,8,7,Blue Jays
Game_33,2,4,Dodgers
Game_34,5,4,Blue Jays
Game_35,8,6,Blue Jays
Game_36,0,9,Dodgers
Game_37,2,9,Dodgers
Game_38,4,8,Dodgers
Game_39,5,4,Blue Jays
Game_40,9,0,Blue Jays
Game_41,16,2,Blue Jays
Game_42,5,4,Blue Jays
Game_43,3,2,Blue Jays
Game_44,5,1,Blue Jays
Game_45,9,7,Blue Jays
Game_46,4,3,Blue Jays
Game_47,0,6,Dodgers
Game_48,5,4,Blue Jays
Game_49,3,2,Blue Jays
Game_50,2,1,Blue Jays
Game_51,1,4,Dodgers
Game_52,5,4,Blue Jays
Game_53,0,3,Dodgers
Game_54,7,3,Blue Jays
Game_55,4,3,Blue Jays
Game_56,2,3,Dodgers
Game_57,17,7,Blue Jays
Game_58,1,4,Dodgers
Game_59,1,7,Dodgers
Game_60,2,3,Dodgers
Game_61,4,2,Blue Jays
Game_62,4,2,Blue Jays
Game_63,6,8,Dodgers
Game_64,0,7,Dodgers
Game_65,2,8,Dodgers
Game_66,0,12,Dodgers
Game_67,0,3,Dodgers
