Team,Player,PA,AB,H,2B,3B,HR,BB,RBI,R,game_id
Dodgers,Shohei Ohtani,6,6,4,0,0,4,0,7,4,Game_949
Blue Jays,Davis Schneider,5,5,5,1,0,4,0,8,4,Game_1788
Blue Jays,Daulton Varsho,6,5,3,0,0,3,1,4,3,Game_22
Blue Jays,Davis Schneider,5,5,4,0,0,3,0,5,3,Game_1606
Blue Jays,Ernie Clement,5,5,4,0,0,3,0,4,3,Game_1331
Blue Jays,Andrés Giménez,5,5,4,0,1,3,0,7,3,Game_1377
Dodgers,Enrique Hernández,5,5,3,0,0,3,0,3,3,Game_1420
Dodgers,Freddie Freeman,5,4,3,0,0,3,1,5,4,Game_1468
Dodgers,Shohei Ohtani,5,5,4,0,0,3,0,3,3,Game_1478
Dodgers,Andy Pages,5,5,4,0,0,3,0,6,4,Game_1516
Dodgers,Shohei Ohtani,6,5,4,1,0,3,1,4,5,Game_1580
Blue Jays,Andrés Giménez,5,4,4,0,0,3,1,4,3,Game_1596
Dodgers,Shohei Ohtani,6,6,4,0,0,3,0,5,3,Game_1632
Blue Jays,George Springer,5,5,3,0,0,3,0,4,3,Game_1145
Dodgers,Max Muncy,4,4,3,0,0,3,0,3,3,Game_1675
Dodgers,Shohei Ohtani,6,6,4,0,0,3,0,4,3,Game_1701
Dodgers,Andy Pages,5,4,3,0,0,3,1,7,3,Game_1759
Dodgers,Freddie Freeman,5,5,3,0,0,3,0,8,3,Game_1767
Dodgers,Max Muncy,5,5,3,0,0,3,0,6,3,Game_1785
Dodgers,Shohei Ohtani,5,5,3,0,0,3,0,4,3,Game_1791
Dodgers,Max Muncy,5,5,4,0,0,3,0,3,4,Game_1876
Dodgers,Freddie Freeman,5,5,3,0,0,3,0,6,3,Game_1955
Blue Jays,Andrés Giménez,4,4,3,0,0,3,0,6,3,Game_1966
Dodgers,Max Muncy,5,5,4,0,0,3,0,6,3,Game_1301
Blue Jays,Vladimir Guerrero Jr.,5,5,3,0,0,3,0,6,3,Game_996
Dodgers,Teoscar Hernández,4,4,3,0,0,3,0,5,3,Game_36
Dodgers,Tommy Edman,5,5,3,0,0,3,0,7,3,Game_440
Dodgers,Max Muncy,5,4,4,0,0,3,1,5,3,Game_69
Dodgers,Tommy Edman,6,5,3,0,0,3,1,4,3,Game_123
Dodgers,Tommy Edman,5,5,3,0,0,3,0,6,3,Game_179
Dodgers,Freddie Freeman,6,6,3,0,0,3,0,5,3,Game_207
Dodgers,Freddie Freeman,6,5,3,0,0,3,0,4,3,Game_338
Dodgers,Tommy Edman,5,5,3,0,0,3,0,9,3,Game_364
Dodgers,Shohei Ohtani,6,6,3,0,0,3,0,5,3,Game_384
Dodgers,Shohei Ohtani,5,5,4,1,0,3,0,3,4,Game_385
Dodgers,Mookie Betts,5,4,3,0,0,3,1,4,3,Game_404
Blue Jays,George Springer,4,4,3,0,0,3,0,3,3,Game_453
Dodgers,Tommy Edman,6,5,4,0,0,3,1,9,4,Game_991
Dodgers,Mookie Betts,6,6,4,1,0,3,0,6,3,Game_485
Dodgers,Tommy Edman,5,5,3,0,0,3,0,5,3,Game_487
Dodgers,Shohei Ohtani,6,6,3,0,0,3,0,3,3,Game_536
Blue Jays,Andrés Giménez,7,5,3,0,0,3,2,3,3,Game_601
Blue Jays,Daulton Varsho,4,4,3,0,0,3,0,7,3,Game_730
Blue Jays,Andrés Giménez,4,4,3,0,0,3,0,5,3,Game_753
Dodgers,Shohei Ohtani,6,6,3,0,0,3,0,6,3,Game_779
Dodgers,Shohei Ohtani,6,6,3,0,0,3,0,7,3,Game_819
Dodgers,Shohei Ohtani,5,5,3,0,0,3,0,7,3,Game_845
Blue Jays,Daulton Varsho,4,4,4,0,0,3,0,5,3,Game_1991
